,access-list 66 permit 144.46.136.96 0.0.0.31,Unnamed: 1,EMEA / Aberdeen engineers (Legacy)
0,access-list 66 permit 153.15.20.192 0.0.0.63,,Norway / NSBU
1,access-list 66 permit 158.139.170.0 0.0.0.63,,TCOM Network Tools
2,access-list 66 permit 155.191.128.0 0.0.0.15,,Canada Tools
3,access-list 66 permit 158.139.195.0 0.0.0.255,,Netcool
4,access-list 66 permit 158.139.216.0 0.0.7.255,,VitalNet
5,access-list 66 permit 158.139.240.0 0.0.7.255,,Bartlesville engineers
6,access-list 66 permit 159.163.195.0 0.0.0.255,,AP - TCOM eng
7,access-list 66 permit host 159.163.206.58,,AP
8,access-list 66 permit 159.163.232.4,,AP - cascade
9,access-list 66 permit 136.226.130.30,,Alaska - CW
10,!,,CER - for 911 emergency service
11,access-list 66 permit 155.191.185.155,,CW - Canada
12,access-list 66 permit 144.46.144.11,,EMEA PRTG
13,,,
14,access-list 66 permit 158.139.195.0 0.0.0.255,,Ciscoworks
15,access-list 67 permit 158.139.2.218,,hocprimewired
16,!,,
17,159.163.89.228,,ABUE
18,159.163.89.166,,ABUE
19,,,
20,155.191.182.156 0.0.0.3,,"calgary nac - cover 155.191.182.157, 155.191.182.158"
21,158.139.104.8 0.0.0.7,,"bvl nac - cover 158.139.104.11,12,13,14,15"
22,158.139.49.48 0.0.0.15,,"hou nac - covers 158.169.49.49,54,55,56"
23,,,
24,10.25.32.7,,anc nac
25,158.139.198.247                ,,bvl nac - guest3
26,,,
27,159.163.178.100 ,,bjn-nsise1
28,159.163.136.130 ,,jkt-nsise1.
29,159.163.253.87   ,,sgt-nsise1.
30,159.163.73.191   ,,cur-nsise1
31,,,
32,10.166.216.88 0.0.0.3,,"abz nac covers 10.16.216.88, 89"
33,153.15.20.244 0.0.0.3,,"svg nac cover 153.15.20.244, 245"
